scope	artifact	role	size_bytes	records_or_version	sha256	observed_mtime_or_build_date	notes
repository	.	git revision	NA	258b8f8259578bc4d52dfc66a12645d5302e243e	NA	2026-07-24	dirty before audit; branch fix/report-frozen-otu-sample-reads
code	nextflow.config	default configuration	NA	NA	35e7581eab2a0e608b639bbf8ed6b5ec9ff2c253070bf86eb163dd6ece48669f	2026-07-24	hash at audit time
code	main.nf	pipeline orchestration	NA	NA	85776ece45432cf406be800682565a1e86f3846d30e8337c3c880b8a6170107f	2026-07-24	hash at audit time
code	bin/blast_otu_pretax.sh	OTU marker BLAST	NA	NA	97e43b01183711d91fdafefb3d3c8b00ae30f8b8d64155732f1058b2678f4ff5	2026-07-24	hash at audit time
code	bin/get_blast_taxdepth.pl	identity-depth taxid resolver	NA	NA	90dc3b146aea64df4292fc18eb6df4190338ea8cd1d04d876abec728a9462508	2026-07-24	hash at audit time
code	bin/lib/RTBioScan/OTURefineBlastreport.pm	OTU taxid selection and lineage resolution	NA	NA	700d19a8f3a377588806e958121da689799c25ebf4d4093fe6eb4b3c52a220d6	2026-07-24	hash at audit time
code	bin/reporting_blast_otu.pl	OTU report taxid join	NA	NA	d7a46fcf91eaa8957674dd9f5a7ccb61517c9e33acd2a1d89e953c4992073103	2026-07-24	hash at audit time
code	bin/reporting_blast_consensus.pl	consensus report taxid join	NA	NA	69a6ad5db47f3b894189d7cb547e78cdf2509102d6dfb085366adaa377f55f64	2026-07-24	hash at audit time
code	bin/report_round_json.pl	JSON marker consistency	NA	NA	f878797a7dfb2881c2a1d3cb418ea13e2eb8070eb02e9abfddd425d94c2b2a7d	2026-07-24	hash at audit time
code	bin/append_reports.pl	legacy report aggregation	NA	NA	3b40930c71e9c5466af610025c964613142bbd0c2837434cd55ba34b732421ae	2026-07-24	hash at audit time
code	bin/lib/taxon_util.pl	assigned/unassigned predicates	NA	NA	83f0cf3706096ba6a3c95998e2ab561c378abfd59875646bbf525c71471282cf	2026-07-24	hash at audit time
coi_fasta	db/COInr98_2024Jun_RioNegro_Brazil.fasta	COI source FASTA	596708996	792926	d0a1ba27438f16843fdffcb4ed30e6e89369ed310f338ec73c1fa058dffe6741	2024-07-18T18:16:09+0200	1493-record appended tail is absent from BLAST index
coi_blast	db/COInr98_2024Jun_RioNegro_Brazil.ndb	BLAST v5 index	20480	791433	6e5b8720162518bd92a5a273e9342072da448b86504ffc889393c2664aea698d	2024-07-16T22:22:59+0200	build date embedded in DB is 2024-07-07
